read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1734384,batch04,28.0,23.0,1,3,2,773,,0
1734597,batch01,42.0,60.0,2,6,2,1220,,0
1734705,batch04,59.0,60.0,1,3,3,882,,0
1735236,batch01,41.8,60.0,1,5,2,990,Agbl4,1
1735311,batch04,60.0,60.0,1,2,2,678,,0
1735314,batch01,39.5,39.5,2,2,2,545,Cntnap5b;Gm41244,2
1735360,batch04,54.166666666666664,60.0,1,6,2,1289,Cdh12;Gm49685,2
1735461,batch03,35.0,51.0,2,5,3,1035,,0
1735921,batch04,31.5,31.5,2,2,2,480,,0
1735952,batch01,60.0,60.0,1,4,2,1015,Cadm2;Alcam,2
1735989,batch03,51.0,59.5,1,6,2,1948,,0
1736092,batch01,59.25,60.0,1,4,2,983,,0
1736482,batch01,51.6,60.0,1,5,2,1341,Ascc3,1
1736866,batch04,60.0,60.0,1,3,2,879,,0
1736906,batch01,60.0,60.0,2,4,3,1219,,0
1736926,batch04,43.6,60.0,3,5,4,1300,,0
1737255,batch01,43.0,60.0,1,3,2,716,,0
1737271,batch01,50.5,50.5,2,2,2,706,,0
1737304,batch03,54.2,60.0,1,5,2,1262,,0
1737636,batch01,44.57142857142857,60.0,1,7,2,1336,,0
1738089,batch01,60.0,60.0,2,3,3,933,Epha5,1
1739016,batch01,60.0,60.0,1,2,2,626,,0
1739194,batch01,60.0,60.0,1,3,2,1027,Gm12381,1
1739271,batch03,57.333333333333336,60.0,1,3,2,723,,0
1739302,batch01,45.25,60.0,2,4,2,1151,,0
1739932,batch04,48.5,48.5,2,2,2,633,,0
1740024,batch04,43.5,43.5,1,2,2,754,Lrrc4c,1
1740437,batch04,60.0,60.0,1,2,2,635,,0
1740737,batch04,43.333333333333336,60.0,1,3,2,810,,0
1740804,batch01,43.8,60.0,3,5,4,1465,,0
1741238,batch01,60.0,60.0,1,3,2,1047,Gm26629;Sorcs1,2
1741493,batch04,60.0,60.0,2,2,2,777,,0
1741613,batch03,60.0,60.0,1,3,2,1056,Nkain3,1
1741882,batch03,60.0,60.0,1,3,2,885,,0
1742192,batch02,60.0,60.0,2,4,4,1199,,0
1742215,batch04,55.666666666666664,60.0,1,3,3,1098,,0
1742263,batch03,0.75,0.5,1,4,2,1278,,0
1742345,batch04,60.0,60.0,1,2,2,551,,0
1742348,batch01,60.0,60.0,1,2,2,932,,0
1742460,batch04,46.333333333333336,46.0,1,3,2,1268,,0
1742523,batch04,10.0,4.0,1,4,3,1069,Sp140l2,1
1742645,batch01,18.6,1.0,1,5,3,2019,,0
1742805,batch04,43.666666666666664,60.0,2,3,3,708,,0
1742853,batch03,60.0,60.0,1,4,3,953,Gbe1,1
1743812,batch04,56.2,60.0,1,5,2,1203,Gm11867,1
1744051,batch04,20.333333333333332,1.0,3,3,3,726,Vmn2r-ps99;Tas2r117,2
1744133,batch01,4.4,0.0,2,5,5,1486,,0
1744141,batch01,60.0,60.0,1,4,3,953,,0
1744350,batch04,53.0,53.0,1,2,2,949,,0
1744768,batch01,48.333333333333336,60.0,2,3,3,835,,0
1744781,batch01,60.0,60.0,1,4,2,1229,,0
1744844,batch04,40.0,60.0,2,3,3,917,,0
1744864,batch04,47.666666666666664,60.0,1,3,2,748,Cntnap5a,1
1744934,batch03,60.0,60.0,1,2,2,630,Gm49685,1
1745064,batch01,45.0,60.0,1,3,2,785,,0
1745485,batch01,60.0,60.0,1,2,2,525,,0
1745510,batch01,43.4,50.0,1,5,2,1048,,0
1746364,batch01,60.0,60.0,2,2,2,708,,0
1746466,batch03,60.0,60.0,1,3,2,977,,0
1746519,batch03,60.0,60.0,1,6,2,1442,,0
1746548,batch04,0.0,0.0,1,2,2,666,,0
1746715,batch04,16.75,3.0,3,4,4,992,,0
1747146,batch01,60.0,60.0,1,2,2,692,,0
1747231,batch03,12.5,12.5,2,2,2,538,Gm49853,1
1747696,batch01,60.0,60.0,1,2,2,614,,0
1747739,batch03,55.25,60.0,1,8,2,1926,Cdh12;Gm49685,2
1747966,batch03,44.5,44.5,1,2,2,534,,0
1748152,batch01,60.0,60.0,1,2,2,912,Lrfn5,1
1748913,batch04,39.0,57.0,3,6,4,1693,Gm3411;4921515E04Rik;Sult2a5;Gm3002,4
1749009,batch01,30.5,30.5,2,4,3,1082,Agbl4,1
1749379,batch01,22.75,15.0,1,4,2,1221,,0
1749497,batch01,22.0,22.0,1,2,2,571,,0
1749777,batch04,56.285714285714285,60.0,1,7,2,1125,,0
1749957,batch04,34.0,35.0,2,4,3,1017,,0
1750084,batch01,40.333333333333336,60.0,2,3,3,1121,,0
1750530,batch03,31.666666666666668,34.0,1,3,2,603,D830032E09Rik,1
1751013,batch04,39.75,46.0,1,4,2,1117,,0
1751392,batch04,60.0,60.0,1,3,2,743,Vmn2r108,1
1751460,batch02,55.75,60.0,1,4,2,927,,0
1751571,batch01,58.666666666666664,60.0,1,3,2,818,,0
1751606,batch01,60.0,60.0,1,5,2,1895,Grik2,1
1751923,batch01,55.5,60.0,1,6,2,1621,,0
1752547,batch02,52.5,60.0,1,4,2,1186,,0
1752948,batch03,8.333333333333334,2.0,1,3,2,861,,0
1753073,batch04,60.0,60.0,1,2,2,784,Cdh10,1
1753765,batch04,37.0,42.0,1,11,3,1945,Pcdh7,1
1753827,batch02,5.5,5.5,1,2,2,1308,,0
1753863,batch01,6.0,6.0,2,2,2,1140,,0
1754338,batch03,60.0,60.0,1,2,2,711,,0
1755362,batch01,60.0,60.0,1,3,3,890,,0
1755421,batch03,60.0,60.0,1,3,2,1060,,0
1755831,batch03,36.0,36.0,1,2,2,470,A230057D06Rik,1
1755852,batch03,48.0,60.0,1,5,2,1391,,0
1755862,batch01,60.0,60.0,1,2,2,797,Gbe1,1
1756099,batch01,60.0,60.0,1,3,2,823,Gm49648,1
1756704,batch02,45.25,60.0,4,4,4,1250,,0
1756826,batch04,27.166666666666668,21.5,2,6,4,1699,Gm12876,1
1756862,batch01,60.0,60.0,1,2,2,711,Mmp16,1
1756879,batch02,49.4,60.0,1,5,2,1639,4931408C20Rik,1
1756895,batch02,60.0,60.0,1,2,2,619,Ptprd,1
1756916,batch01,51.5,60.0,1,4,3,818,,0
1757021,batch03,40.0,60.0,1,3,3,706,Ptprd,1
1757139,batch01,60.0,60.0,1,2,2,808,,0
1757486,batch04,44.666666666666664,60.0,2,3,3,958,C030047K22Rik;Gm49162,2
1757660,batch04,51.8,60.0,1,5,2,814,,0
1757678,batch04,39.5,41.0,1,4,2,938,4930523O13Rik;Csmd3,2
1757703,batch01,54.666666666666664,60.0,3,3,3,1055,,0
