read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
2131189,batch01,54.0,60.0,1,5,2,1293,Mtmr7,1
2131295,batch03,20.0,17.0,1,4,2,673,Gm44196,1
2131317,batch03,53.166666666666664,60.0,1,6,2,1073,Prickle2;4930590J08Rik,2
2131360,batch01,39.0,39.0,1,2,2,603,Ppfibp1,1
2131382,batch03,60.0,60.0,1,2,2,492,Exoc6b,1
2131631,batch04,60.0,60.0,1,5,2,1117,Eefsec;Gm45140;Dnajb8,3
2131632,batch01,60.0,60.0,1,4,2,742,9330179D12Rik,1
2131685,batch04,41.25,52.5,1,4,2,1314,Add2;Nat8f3,2
2131839,batch01,60.0,60.0,1,3,2,807,Itpr2;Ano2,2
2131872,batch01,54.5,60.0,1,6,3,970,Ipo8;9530026P05Rik,2
2131950,batch04,6.666666666666667,0.0,3,9,3,1729,Zfp97;Zfp960,2
2132000,batch01,60.0,60.0,1,2,2,711,A530053G22Rik,1
2132027,batch01,39.666666666666664,55.0,3,3,3,875,Ppp4r2,1
2132067,batch03,60.0,60.0,1,3,2,604,Svopl,1
2132083,batch04,49.6,60.0,1,5,2,1006,Ankrd26;Cacna1c,2
2132098,batch01,60.0,60.0,1,3,3,825,Exoc4;Plxna4,2
2132325,batch01,31.5,31.5,2,2,2,427,Fabp6;Dennd2a,2
2132365,batch04,45.5,60.0,2,6,3,1289,Gm44174;Usp39;Polr1a;Tcf7l1,4
2132404,batch03,30.5,30.5,2,4,3,1028,Gsdme,1
2132631,batch04,60.0,60.0,1,3,2,812,Foxp1;Atg7,2
2132632,batch04,60.0,60.0,1,3,3,734,Sox5,1
2132687,batch01,30.0,30.0,2,2,2,410,9530026P05Rik,1
2132692,batch01,60.0,60.0,2,3,2,894,Csmd1;Cdk8,2
2132726,batch01,39.6,60.0,1,5,3,1007,Prickle2;Iqsec1,2
2132844,batch04,35.5,35.5,1,2,2,393,Dclk2,1
2132992,batch03,45.333333333333336,60.0,2,3,2,1336,Camk1d,1
2133154,batch01,40.333333333333336,60.0,2,3,3,811,Zfp946,1
